sitename,sitetype,easting,northing,NO2annualmean2006,NO2annualmean2007,NO2annualmean2008,NO2annualmean2009,NO2annualmean2010,NO2annualmean2011,tem2006,tem2007,tem2008,tem2009,tem2010,tem2011,NO2modelled2006,NO2modelled2007,NO2modelled2008,NO2modelled2009,NO2modelled2010,NO2modelled2011,PM10annualmean2006,PM10annualmean2007,PM10annualmean2008,PM10annualmean2009,PM10annualmean2010,PM10annualmean2011,PM10modelled2006,PM10modelled2007,PM10modelled2008,PM10modelled2009,PM10modelled2010,PM10modelled2011,MISSINGALL,,Ozoneannualmean2006,Ozoneannualmean2007,Ozoneannualmean2008,Ozoneannualmean2009,Ozoneannualmean2010,PM25annualmean2006,PM25annualmean2007,PM25annualmean2008,PM25annualmean2009,PM25annualmean2010,SO2annualmean2006,SO2annualmean2007,SO2annualmean2008,SO2annualmean2009,SO2annualmean2010,COannualmean2006,COannualmean2007,COannualmean2008,COannualmean2009,COannualmean2010
Fife Kirkcaldy,Roadside,329143.57,692986.35,NA,NA,NA,NA,NA,19,9.326666667,9.184166667,8.646666667,8.795,7.63,9.0375,11.93739,12.87994,12.49936,13.09786,13.27246,13.21409,NA,NA,NA,NA,NA,13,11.70716,11.72023,9.611098,9.902762,11.80843,11.4732,0,,,,,,,,,,,,,,,,,,,,,
East Lothian Musselburgh N High St,Roadside,333941,672836,NA,NA,NA,NA,NA,24,10.32333333,10.15083333,9.685833333,9.875,8.668333333,10.14833333,11.56179,17.03611,17.23741,18.53375,19.1834,16.70969,NA,NA,NA,NA,11,19,11.65696,13.11277,11.83244,12.19513,14.43687,13.95527,11,,,,,,,,,,,,,,,,,,,,,
Dumfries,Roadside,297019.53,576254.03,37,38,37,35,40,32,9.639166667,9.558333333,9.06,9.108333333,7.909166667,9.4625,10.07448,11.68149,10.5451,10.28832,10.72273,12.70382,NA,NA,NA,NA,NA,NA,10.87257,10.8666,9.745004,10.09931,11.31946,11.25943,187,,,,,,,,,,,,,,,,,0.6,NA,NA,NA,NA
Eskdalemuir,Rural,323550.97,603021.74,4,5,5,4,3,3,6.5925,6.460833333,6.0125,6.079166667,4.781666667,6.373333333,4.408541,4.586092,4.285695,4.122022,3.311693,3.293808,NA,NA,NA,NA,NA,NA,8.876231,8.885176,7.53409,7.503893,8.891219,9.190476,21,,58,54,57,56,55,,,,,,,,,,,,,,,
Perth Crieff,Roadside,286363,721614,NA,NA,NA,NA,NA,34,6.033333333,6.075,5.506666667,5.618333333,4.349166667,5.838333333,4.167781,6.400588,6.697485,6.90503,6.361623,6.008814,NA,NA,NA,NA,NA,NA,10.17056,10.36666,9.942713,10.58189,12.06804,11.98056,0,,,,,,,,,,,,,,,,,,,,,
Perth Atholl Street,Roadside,311577.28,723931.02,57,60,60,56,56,57,9.333333333,9.244166667,8.638333333,8.7725,7.525,9.074166667,10.87961,13.47471,13.81916,14.87537,15.84366,13.4283,28,27,26,21,24,19,11.35391,13.61655,12.83766,11.97836,13.4166,13.56601,409,,,,,,,,,,,,,,,,,,,,,
Perth High Street,Roadside,311680.93,723624.9,28,29,27,25,30,27,9.333333333,9.244166667,8.638333333,8.7725,7.525,9.074166667,10.87961,13.47471,13.81916,14.87537,15.84366,13.4283,21,20,NA,16,19,16,11.35391,13.61655,12.83766,11.97836,13.4166,13.56601,215,,,,,,,,,,,,,,,,,,,,,
Fife Cupar,Roadside,337369.34,714578.52,48,52,46,NA,32,30,9.525,9.376666667,8.8275,8.954166667,7.833333333,9.161666667,7.080468,9.190587,9.078891,10.22377,9.394765,9.780958,27,23,23,NA,19,19,10.03987,10.447,10.25446,11.54089,12.35047,12.26011,270,,,,,,,,,,,,,,,,,,,,,
Dundee Lochee Road,Kerbside,338859.24,730774.79,NA,53,53,54,55,NA,8.6525,8.549166667,8.010833333,8.123333333,6.973333333,8.399166667,15.01699,15.34118,17.17357,16.40209,17.39384,13.46756,NA,NA,NA,NA,NA,NA,15.3405,15.59162,13.49353,10.86434,12.5152,12.12367,215,,,,,,,,,,,,,,,,,,,,,
Dundee Union Street,Roadside,340234.85,730091.73,NA,36,43,45,40,36,8.793333333,8.684166667,8.1525,8.2725,7.134166667,8.5425,17.49774,20.15187,21.58624,20.62922,23.54741,19.67514,24,22,21,17,17,16,17.70058,17.87932,15.34092,12.27378,14.37996,13.88581,265,,,,,,,,,,,,,,,,,,,,,
